MES/FUENTE;RF;NASA;IDEAM;RF;NASA;IDEAM;RF;NASA;RF;NASA;RF;NASA
Enero;3.881;3.999;3.924;4.049;3.999;3.829;3.997;3.940;3.764;3.940;3.947;3.940
Febrero;4.141;3.773;3.495;3.986;3.773;4.019;3.597;3.680;3.705;3.680;3.746;3.680
Marzo;3.626;3.618;3.236;3.679;3.618;4.136;3.847;3.500;3.624;3.500;3.617;3.500
Abril;3.784;3.807;3.773;3.900;3.807;3.908;3.834;3.630;3.812;3.630;3.697;3.630
Mayo;3.528;3.687;3.788;3.518;3.687;3.819;3.552;3.580;3.496;3.580;3.467;3.580
Junio;3.314;3.555;3.514;3.372;3.555;4.432;3.488;3.380;3.642;3.380;3.503;3.380
Julio;3.614;3.456;3.509;3.604;3.456;3.942;3.445;3.400;3.495;3.400;3.418;3.400
Agosto;3.885;3.761;3.491;4.074;3.761;3.953;3.910;3.630;3.898;3.630;3.897;3.630
Septiembre;4.234;3.980;3.747;4.261;3.980;3.678;4.179;4.090;4.357;4.090;4.201;4.090
Octubre;4.565;4.170;3.883;4.622;4.170;4.507;4.578;4.290;4.623;4.290;4.583;4.290
Noviembre;4.251;4.040;3.698;4.161;4.040;4.015;3.877;4.110;4.282;4.110;4.047;4.110
Diciembre;4.283;4.002;3.538;4.036;4.002;3.849;4.121;3.930;4.530;3.930;4.119;3.930
